interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,gender,census_region,hispanic,race_ethnicity,household_income,education,state,congress_district,age_group,vote_trump,vote_biden
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,South,Mexican,white,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",TX,TX18,38 to 47,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,employed,The United States,Male,Midwest,Not Hispanic,white,"$250,000 and above",Masters degree,IL,IL07,38 to 47,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,South,Not Hispanic,white,"$90,000 to $94,999","Completed some graduate, but no degree",MD,MD08,28 to 37,0,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Male,South,Not Hispanic,black/african american/negro,"$25,000 to $29,999","College Degree (such as B.A., B.S.)",FL,FL20,28 to 37,0,1
Hardly at all,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Very Liberal,employed,The United States,Female,South,Not Hispanic,white,"$60,000 to $64,999",Completed some high school,VA,VA06,58 to 67,0,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Female,Midwest,Not Hispanic,white,"$30,000 to $34,999",High school graduate,OH,OH06,78 to 87,1,0
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Female,Northeast,Other Hispanic,white,"$65,000 to $69,999","College Degree (such as B.A., B.S.)",NY,NY21,48 to 57,1,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,Midwest,Not Hispanic,white,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",MI,MI12,28 to 37,1,0
Some of the time,Not registered,Someone else:,"No, I am not eligible to vote",I am not sure/don't know,Moderate,employed,The United States,Male,Northeast,Not Hispanic,white,"$150,000 to $174,999",High school graduate,PA,PA02,58 to 67,0,0
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Conservative,not in labor force,The United States,Male,South,Not Hispanic,white,"$100,000 to $124,999","Completed some college, but no degree",NC,NC03,68 to 77,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,Northeast,Not Hispanic,black/african american/negro,"$60,000 to $64,999",Associate Degree,NY,NY05,48 to 57,0,1
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,South,Not Hispanic,black/african american/negro,"$25,000 to $29,999",High school graduate,GA,GA02,18 to 27,0,1
Hardly at all,Registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I am not sure/don't know,Not Sure,employed,The United States,Female,Midwest,Not Hispanic,white,"$35,000 to $39,999",High school graduate,OH,OH07,38 to 47,0,0
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,West,Not Hispanic,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",AZ,AZ04,48 to 57,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,unemployed,The United States,Male,South,Cuban,black/african american/negro,"$70,000 to $74,999",Associate Degree,GA,GA12,58 to 67,0,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$15,000 to $19,999","Completed some college, but no degree",OH,OH09,58 to 67,1,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Male,Northeast,Not Hispanic,black/african american/negro,"$75,000 to $79,999","College Degree (such as B.A., B.S.)",NY,NY08,18 to 27,0,1
Some of the time,Registered,Someone else:,"Yes, I will vote",Someone else,Moderate,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$40,000 to $44,999","Completed some graduate, but no degree",OH,OH09,58 to 67,0,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,employed,The United States,Male,Northeast,Not Hispanic,white,"$175,000 to $199,999",Masters degree,NY,NY12,38 to 47,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Not Sure,employed,The United States,Female,Northeast,Not Hispanic,chinese,NA,"College Degree (such as B.A., B.S.)",NY,NY06,58 to 67,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Male,South,Not Hispanic,white,"$250,000 and above",Doctorate degree,AL,AL06,68 to 77,0,1
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,South,Not Hispanic,white,"$15,000 to $19,999",Masters degree,GA,GA06,48 to 57,1,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$70,000 to $74,999","Completed some college, but no degree",WI,WI06,58 to 67,0,1
Only now and then,Not registered,Don't recall,"Yes, I will vote",Joe Biden,Not Sure,not in labor force,The United States,Male,West,Not Hispanic,white,NA,"Completed some graduate, but no degree",CA,CA18,38 to 47,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,not in labor force,The United States,Male,Northeast,Not Hispanic,white,"$15,000 to $19,999",Associate Degree,NY,NY21,58 to 67,0,1
Most of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,Midwest,Mexican,white,"$95,000 to $99,999","Completed some college, but no degree",IL,IL09,38 to 47,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,South,Not Hispanic,white,"$150,000 to $174,999",Masters degree,FL,FL15,48 to 57,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Male,South,Not Hispanic,black/african american/negro,"$50,000 to $54,999",High school graduate,FL,FL05,18 to 27,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$40,000 to $44,999","Completed some college, but no degree",MO,MO07,58 to 67,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$65,000 to $69,999",Other post high school vocational training,OH,OH05,68 to 77,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Not Sure,employed,The United States,Male,Northeast,Not Hispanic,white,"$30,000 to $34,999",Other post high school vocational training,PA,PA09,28 to 37,0,1
Some of the time,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Donald Trump,Moderate,employed,The United States,Male,Midwest,Not Hispanic,white,"$35,000 to $39,999",High school graduate,OH,OH13,58 to 67,1,0
Only now and then,Not registered,"Did not vote, but was eligible",Not sure,Joe Biden,Very Liberal,not in labor force,The United States,Female,South,Not Hispanic,black/african american/negro,"$35,000 to $39,999",Associate Degree,TX,TX31,48 to 57,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Male,West,Not Hispanic,white,"$20,000 to $24,999",High school graduate,AZ,AZ07,58 to 67,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Male,Northeast,Not Hispanic,white,"$70,000 to $74,999","Completed some college, but no degree",NJ,NJ11,78 to 87,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,South,Not Hispanic,black/african american/negro,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",FL,FL07,58 to 67,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,Midwest,Not Hispanic,white,"$80,000 to $84,999","Completed some graduate, but no degree",MI,MI07,48 to 57,0,1
Only now and then,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Liberal,employed,Another country,Male,South,Not Hispanic,white,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",NC,NC02,38 to 47,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,Midwest,Not Hispanic,white,"$85,000 to $89,999","College Degree (such as B.A., B.S.)",WI,WI01,48 to 57,1,0
Hardly at all,Registered,Was not eligible to vote,Not sure,I am not sure/don't know,Not Sure,NA,The United States,Female,Midwest,Mexican,"other race, nec","Less than $14,999",Completed some high school,IL,IL11,18 to 27,0,0
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Male,South,Not Hispanic,white,"$65,000 to $69,999","Completed some college, but no degree",FL,FL02,68 to 77,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,South,Not Hispanic,white,"$50,000 to $54,999","Completed some college, but no degree",GA,GA12,28 to 37,1,0
Hardly at all,Registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I am not sure/don't know,Moderate,employed,The United States,Female,South,Not Hispanic,white,"$45,000 to $49,999","Completed some college, but no degree",FL,FL03,38 to 47,0,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Male,South,Not Hispanic,white,"$250,000 and above",Doctorate degree,TX,TX05,28 to 37,0,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,Midwest,Not Hispanic,black/african american/negro,"$25,000 to $29,999",Associate Degree,IN,IN07,58 to 67,0,1
Only now and then,Registered,Gary Johnson,"Yes, I will vote",I am not sure/don't know,Liberal,unemployed,The United States,Male,South,Not Hispanic,white,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",AL,AL05,38 to 47,0,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,Midwest,Mexican,"other race, nec","$60,000 to $64,999",High school graduate,WI,WI05,38 to 47,0,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,West,Not Hispanic,white,"$30,000 to $34,999",Other post high school vocational training,AZ,AZ08,58 to 67,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Female,Midwest,Spanish,white,"$40,000 to $44,999","College Degree (such as B.A., B.S.)",IA,IA02,68 to 77,0,1
Hardly at all,Not registered,Was not eligible to vote,"No, I am not eligible to vote",Donald Trump,Very Conservative,employed,The United States,Male,South,Not Hispanic,white,"$125,000 to $149,999",Associate Degree,SC,SC01,58 to 67,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,Northeast,Not Hispanic,white,"$200,000 to $249,999","College Degree (such as B.A., B.S.)",NH,NH02,48 to 57,1,0
Most of the time,Registered,Was not eligible to vote,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,West,Not Hispanic,white,"$55,000 to $59,999","Completed some college, but no degree",CO,CO05,18 to 27,1,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,Midwest,Not Hispanic,white,"$15,000 to $19,999",Associate Degree,IN,IN08,38 to 47,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,South,Not Hispanic,white,"$250,000 and above",Associate Degree,KY,KY03,58 to 67,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Female,Midwest,Not Hispanic,white,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",MI,MI11,38 to 47,1,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,Another country,Female,Northeast,Not Hispanic,chinese,"$70,000 to $74,999","College Degree (such as B.A., B.S.)",NJ,NJ04,68 to 77,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,West,Not Hispanic,white,"$85,000 to $89,999","Completed some college, but no degree",CA,CA09,58 to 67,0,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,South,Not Hispanic,white,"$15,000 to $19,999",Completed some high school,TX,TX12,28 to 37,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,Northeast,Not Hispanic,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",NY,NY11,58 to 67,1,0
Only now and then,Not registered,Was not eligible to vote,Not sure,I would not vote,Conservative,not in labor force,The United States,Male,West,Not Hispanic,white,"Less than $14,999",High school graduate,WA,WA10,48 to 57,0,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Female,Midwest,Not Hispanic,white,"$80,000 to $84,999",Masters degree,MN,MN08,58 to 67,0,1
Most of the time,Not registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,Midwest,Not Hispanic,white,"$25,000 to $29,999","College Degree (such as B.A., B.S.)",WI,WI08,58 to 67,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,not in labor force,Another country,Female,South,Other Hispanic,white,"$15,000 to $19,999",Associate Degree,LA,LA04,68 to 77,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,South,Not Hispanic,white,"$125,000 to $149,999",Masters degree,GA,,58 to 67,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,Midwest,Not Hispanic,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",IL,IL05,48 to 57,0,1
Only now and then,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Joe Biden,Not Sure,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"Less than $14,999",Other post high school vocational training,WI,WI08,58 to 67,0,1
